axis,axis_value,strategy,runs,is_base_value,accuracy_mean,accuracy_sd,false_confident_consensus_rate_mean,false_confident_consensus_rate_sd,independent_roots_per_question_mean,independent_roots_per_question_sd,resolved_gap_rate_mean,resolved_gap_rate_sd,questions_per_claim_mean,questions_per_claim_sd,final_independent_roots_mean,final_independent_roots_sd
corrupt_root_prob,0.3,random,8,0,0.6466666666666666,0.014444200242135974,0.05875,0.005805716941631689,0.22375,0.0031992889421635154,0.04611037399066062,0.0065627291854427165,3.0,0.0,3.89825,0.02463946376452158
corrupt_root_prob,0.3,uncertainty,8,0,0.64625,0.013676245191560526,0.08125,0.006802777210652847,0.2298665961918316,0.010754359728170739,0.004804102209510955,0.0016359784360641106,1.5088333333333332,0.04493346050568409,3.5736666666666665,0.029835527985251534
corrupt_root_prob,0.3,lineage,8,0,0.6405833333333333,0.015822176520354905,0.055,0.007567684009645305,0.9156951891406451,0.023918975944218192,0.0,0.0,0.24725,0.006877037937488119,3.4534166666666666,0.020635729532375004
corrupt_root_prob,0.3,continual,8,0,0.6777500000000001,0.01679734483931294,0.07641666666666666,0.006560463591826613,0.830166196689049,0.00982135927920198,0.11479567006719535,0.007283697566541308,2.3235833333333336,0.027294833513101663,5.155916666666666,0.037407133688558095
root_zipf_exponent,0.0,none,8,0,0.8315,0.00782141951148277,0.013583333333333333,0.0026651781559915654,0.0,0.0,0.0,0.0,0.0,0.0,4.112416666666666,0.034032547446735215
root_zipf_exponent,0.0,random,8,0,0.855,0.008485281374238575,0.011666666666666667,0.0038379888913542635,0.3264722222222222,0.004053326197431752,0.16761859927092967,0.011888754018447188,3.0,0.0,5.091833333333334,0.035110257172657526
root_zipf_exponent,0.0,uncertainty,8,0,0.8575,0.00703505959406623,0.014,0.00264274989057364,0.3319347022696924,0.007852792755931712,0.009003203439884705,0.0019410331875130981,1.0498333333333334,0.029505447438929435,4.461,0.04206570823751582
root_zipf_exponent,0.0,lineage,8,0,0.83375,0.008180018240364663,0.012583333333333334,0.0027240842352311573,0.5911416936156002,0.07794688715124046,0.00013966480446927373,0.0003950317213332667,0.04666666666666666,0.004,4.139833333333334,0.03187226489977249
root_zipf_exponent,0.0,continual,8,0,0.8819166666666667,0.008481071360893737,0.012750000000000001,0.0025307631071994673,0.7375455850259989,0.010093095803253379,0.20716212854792346,0.010610300643397207,1.8994166666666668,0.033100975864385006,5.51325,0.04782964147027023
root_zipf_exponent,0.6,none,8,0,0.8218333333333333,0.00706208296984792,0.016416666666666666,0.004319575228969876,0.0,0.0,0.0,0.0,0.0,0.0,3.9217500000000003,0.02814009735884162
root_zipf_exponent,0.6,random,8,0,0.8465833333333334,0.007687858908901407,0.012333333333333333,0.0013333333333333333,0.3015277777777778,0.006529204504673209,0.16307943154211665,0.010518344901910495,3.0,0.0,4.826333333333333,0.03561522770451504
root_zipf_exponent,0.6,uncertainty,8,0,0.8505833333333334,0.006052023143295448,0.017083333333333332,0.004077619909577661,0.30450781671909,0.01048754956704587,0.009132440776922835,0.0017534375500552527,1.063,0.024304941035315396,4.245416666666666,0.03018343390901164
root_zipf_exponent,0.6,lineage,8,0,0.8265,0.006989788470128626,0.013416666666666667,0.004069827031151578,0.7192620505139855,0.04259261012667787,0.00014013452914798206,0.00039636030335568807,0.06725,0.008570436450518781,3.9699166666666668,0.026720035880595544
root_zipf_exponent,0.6,continual,8,0,0.8825833333333334,0.009116094262521366,0.015916666666666666,0.004513647734705919,0.7689424646885029,0.010912744437117348,0.22340020899496468,0.019634631086219493,1.8875833333333334,0.04256973736919854,5.373166666666667,0.048247707405028754
root_zipf_exponent,1.0,none,8,0,0.8131666666666667,0.007974164632568208,0.020916666666666667,0.0039510898637099,0.0,0.0,0.0,0.0,0.0,0.0,3.6055,0.019900546375206444
root_zipf_exponent,1.0,random,8,0,0.8389166666666666,0.00938040849281433,0.01375,0.0024152294576982396,0.2629722222222222,0.007356804670229351,0.13021484339307313,0.012100419400423217,3.0,0.0,4.394416666666666,0.026302121346035805
root_zipf_exponent,1.0,uncertainty,8,0,0.83675,0.00839075454919055,0.021416666666666667,0.004222953153106643,0.2717343841219969,0.011637061083676112,0.007315312435827639,0.002160257045848717,1.0979166666666667,0.03596018521413537,3.9038333333333335,0.020817422495714468
root_zipf_exponent,1.0,lineage,8,0,0.8224166666666667,0.0094612828419762,0.013916666666666667,0.004237961474614589,0.8527762012066291,0.03213085264294605,0.00013812154696132598,0.0003906667299373191,0.12683333333333333,0.00709795409825623,3.7135833333333332,0.01923600295081624
root_zipf_exponent,1.0,continual,8,0,0.8748333333333334,0.006616477747093092,0.017083333333333332,0.00334165627596057,0.8066317440004477,0.010676929430496153,0.24568297061225008,0.013076119741855937,1.9075,0.026441309671475312,5.144166666666667,0.038339751015577885
root_zipf_exponent,1.35,none,8,1,0.8023333333333333,0.006502746672423445,0.028166666666666666,0.0035945284698601183,0.0,0.0,0.0,0.0,0.0,0.0,3.22425,0.020041029343396067
root_zipf_exponent,1.35,random,8,1,0.8245833333333333,0.0057064430307760365,0.016916666666666667,0.003245265171252733,0.23025,0.0047904041354884744,0.101001983810665,0.009223728346715402,3.0,0.0,3.915,0.023096759890952657
root_zipf_exponent,1.35,uncertainty,8,1,0.8241666666666667,0.0034503277967117925,0.028583333333333332,0.0035534467952938495,0.2323545159694454,0.007476019768522002,0.006299545322133908,0.0010134318951471755,1.1746666666666667,0.02734610619100138,3.49725,0.023921664485274222
root_zipf_exponent,1.35,lineage,8,1,0.8201666666666667,0.008734169352933004,0.015166666666666667,0.0022182504188289747,0.9254264425143044,0.01682330011229473,0.00013935340022296544,0.00039415093711624724,0.24633333333333332,0.009881841612310613,3.452166666666667,0.014270626953669329
root_zipf_exponent,1.35,continual,8,1,0.8709166666666667,0.004753444866119546,0.019,0.0031065726533904933,0.8427637381994493,0.008626717652312174,0.26271561102035645,0.01604643786836697,1.9383333333333332,0.02698618106094247,4.857833333333334,0.042054763994144345
root_zipf_exponent,1.8,none,8,0,0.7843333333333333,0.010528871870107577,0.049416666666666664,0.005525553911758172,0.0,0.0,0.0,0.0,0.0,0.0,2.739333333333333,0.019750828795147748
root_zipf_exponent,1.8,random,8,0,0.808,0.00728555866624964,0.02675,0.004147096900051009,0.18561111111111112,0.0057969766492202545,0.044284013818618996,0.005826429373141916,3.0,0.0,3.2961666666666667,0.02154286977390054
root_zipf_exponent,1.8,uncertainty,8,0,0.8049999999999999,0.008273115763993928,0.049833333333333334,0.005552062393867419,0.17958993237505702,0.009090960857491049,0.004867529054617877,0.0029111695635448474,1.1955833333333334,0.027824706390441673,2.9539166666666667,0.024243310319304486
root_zipf_exponent,1.8,lineage,8,0,0.82025,0.008499766570090718,0.018000000000000002,0.004563485162175596,0.9623033620359732,0.009200763832989348,0.0,0.0,0.4790833333333333,0.012441290700153039,3.2003333333333335,0.015699560200088062
root_zipf_exponent,1.8,continual,8,0,0.8588333333333333,0.008906926143924932,0.02425,0.006088631091750309,0.8631220312684247,0.0077100200788073284,0.2562721307171455,0.016234653165743556,1.9840833333333334,0.029995634603023423,4.4517500000000005,0.026986034012911896
question_budget_per_claim,1,none,8,0,0.8023333333333333,0.006502746672423445,0.028166666666666666,0.0035945284698601183,0.0,0.0,0.0,0.0,0.0,0.0,3.22425,0.020041029343396067
question_budget_per_claim,1,random,8,0,0.8120833333333334,0.0031358146203711024,0.023666666666666666,0.004646213682914464,0.2544166666666667,0.013722591730774615,0.037208566867582275,0.003254556515229372,1.0,0.0,3.478666666666667,0.016271505915615353
question_budget_per_claim,1,uncertainty,8,0,0.81175,0.003562369462938405,0.028166666666666666,0.0035945284698601183,0.24410538239996743,0.018480913014207803,0.002387459427989043,0.0015444038445317056,0.4285,0.009724784242924289,3.3288333333333333,0.02369046422588834
question_budget_per_claim,1,lineage,8,0,0.8191666666666667,0.007421547350746007,0.016166666666666666,0.0023025176007117295,0.9743123228569267,0.006114991481922967,0.0,0.0,0.21791666666666668,0.007671323637365745,3.436583333333333,0.015107813599129154
question_budget_per_claim,1,continual,8,0,0.83775,0.006599061982404712,0.0195,0.003450327796711771,0.9666138262318471,0.00428099483972788,0.1454906700887836,0.008243186974632466,0.7338333333333333,0.00943986817233753,3.9335833333333334,0.024510282908484896
question_budget_per_claim,2,none,8,0,0.8023333333333333,0.006502746672423445,0.028166666666666666,0.0035945284698601183,0.0,0.0,0.0,0.0,0.0,0.0,3.22425,0.020041029343396067
question_budget_per_claim,2,random,8,0,0.82125,0.0071130329744236555,0.019583333333333335,0.003284161123592186,0.24891666666666667,0.004348873234838924,0.07084700853014317,0.007940611767433575,2.0,0.0,3.7220833333333334,0.024104106216741104
question_budget_per_claim,2,uncertainty,8,0,0.8223333333333334,0.008779485467803064,0.0285,0.003594528469860118,0.25274582899382425,0.01810743909431265,0.0046023630221878435,0.0029578153250987248,0.81425,0.015093097339565117,3.430083333333333,0.012958725686909632
