axis,axis_value,focus,baseline,metric,oriented_mean_delta,sem,verdict,seeds_favoring_focus,n_seeds,focus_questions_per_claim,baseline_questions_per_claim
corrupt_root_prob,0.3,lineage,continual,false_confident_consensus_rate,0.021416666666666667,0.0007605083930325926,win,8,8,0.24725,2.3235833333333336
corrupt_root_prob,0.3,lineage,continual,independent_roots_per_question,0.08552899245159606,0.009231230887864001,win,8,8,0.24725,2.3235833333333336
corrupt_root_prob,0.3,lineage,continual,resolved_gap_rate,-0.11479567006719535,0.0025751759707066564,loss,0,8,0.24725,2.3235833333333336
corrupt_root_prob,0.3,continual,none,accuracy,0.04633333333333335,0.003583471758123653,win,8,8,2.3235833333333336,0.0
corrupt_root_prob,0.3,continual,none,false_confident_consensus_rate,0.0034166666666666685,0.001756789550233472,tie,6,8,2.3235833333333336,0.0
corrupt_root_prob,0.3,continual,none,independent_roots_per_question,0.830166196689049,0.0034723748733965706,win,8,8,2.3235833333333336,0.0
corrupt_root_prob,0.3,continual,none,resolved_gap_rate,0.11479567006719535,0.0025751759707066564,win,8,8,2.3235833333333336,0.0
corrupt_root_prob,0.3,continual,random,accuracy,0.031083333333333366,0.004331386925502347,win,8,8,2.3235833333333336,3.0
corrupt_root_prob,0.3,continual,random,false_confident_consensus_rate,-0.017666666666666667,0.0011338934190276819,loss,0,8,2.3235833333333336,3.0
corrupt_root_prob,0.3,continual,random,independent_roots_per_question,0.606416196689049,0.003950180052562428,win,8,8,2.3235833333333336,3.0
corrupt_root_prob,0.3,continual,random,resolved_gap_rate,0.06868529607653473,0.003499401769604559,win,8,8,2.3235833333333336,3.0
corrupt_root_prob,0.3,continual,uncertainty,accuracy,0.03150000000000004,0.003931456372179299,win,8,8,2.3235833333333336,1.5088333333333332
corrupt_root_prob,0.3,continual,uncertainty,false_confident_consensus_rate,0.004833333333333334,0.0015923926292577106,win,7,8,2.3235833333333336,1.5088333333333332
corrupt_root_prob,0.3,continual,uncertainty,independent_roots_per_question,0.6002996004972174,0.004119288964228155,win,8,8,2.3235833333333336,1.5088333333333332
corrupt_root_prob,0.3,continual,uncertainty,resolved_gap_rate,0.1099915678576844,0.002361714706081699,win,8,8,2.3235833333333336,1.5088333333333332
corrupt_root_prob,0.3,continual,lineage,accuracy,0.037166666666666695,0.0030230595245361804,win,8,8,2.3235833333333336,0.24725
corrupt_root_prob,0.3,continual,lineage,false_confident_consensus_rate,-0.021416666666666667,0.0007605083930325926,loss,0,8,2.3235833333333336,0.24725
corrupt_root_prob,0.3,continual,lineage,independent_roots_per_question,-0.08552899245159606,0.009231230887864001,loss,0,8,2.3235833333333336,0.24725
corrupt_root_prob,0.3,continual,lineage,resolved_gap_rate,0.11479567006719535,0.0025751759707066564,win,8,8,2.3235833333333336,0.24725
root_zipf_exponent,0.0,lineage,none,accuracy,0.002250000000000002,0.0006777354917852593,win,7,8,0.04666666666666666,0.0
root_zipf_exponent,0.0,lineage,none,false_confident_consensus_rate,0.0009999999999999994,0.00021821789023599222,win,7,8,0.04666666666666666,0.0
