n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,metric,system,baseline,mean_system,mean_baseline,mean_diff,ci_low,ci_high,cohens_dz,p_paired_t,n_pairs
100,correlated_org,0.9,none,0.0,0,post_failure,iss,B6,B2,0.20585013926029205,0.8952139516671499,-0.6893638124068578,-0.694528357523183,-0.6840048358341059,-46.353818291177454,4.308138792566514e-50,30
100,correlated_org,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.3039833333333333,0.6349166666666668,-0.33093333333333336,-0.34229999999999994,-0.3173166666666667,-9.300065518509378,6.3049638017807714e-30,30
100,correlated_org,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B4,0.179625705968017,0.4005586757036713,-0.22093296973565432,-0.22979364583629802,-0.21040535255315393,-7.927997802167128,6.091921157586398e-28,30
100,correlated_org,0.9,none,0.0,0,post_failure,iss,B6,B4,0.20585013926029205,0.48388901849587757,-0.2780388792355855,-0.2921148184190194,-0.26261889580637215,-6.581536106431689,1.2232458887017216e-25,30
100,correlated_org,0.9,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.3286833333333333,0.8410333333333332,-0.51235,-0.5178504166666666,-0.50635,-31.63108407570053,2.7817454023461654e-45,30
100,correlated_org,0.9,none,0.0,0,post_failure,accuracy_macro,B7,B2,0.2416279608960652,0.5730244747114323,-0.33139651381536706,-0.3372577825964714,-0.32561909804582573,-19.98587125805314,1.651241700831791e-39,30
100,correlated_org,0.9,none,0.0,0,post_failure,iss,B7,B2,0.20623182555039724,0.8952139516671499,-0.6889821261167526,-0.6932380006462335,-0.6846282660836974,-57.542611158993815,8.166470326691099e-53,30
100,correlated_org,0.9,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.2416279608960652,0.2554972851559694,-0.013869324259904201,-0.019438662049861808,-0.008229203513072672,-0.8709057133934031,4.803843205890311e-05,30
100,correlated_region,0.1,none,0.0,0,post_failure,iss,B6,B2,0.8977341016133626,1.0,-0.10226589838663737,-0.10369397958119711,-0.10071695809563001,-24.172215064804565,6.718305189015083e-42,30
100,correlated_region,0.1,none,0.0,0,post_failure,iss,B6,B4,0.8977341016133626,0.9939023017883301,-0.09616820017496745,-0.09825644254684449,-0.09410951301455497,-16.175081406608346,7.490107782345756e-37,30
100,correlated_region,0.1,none,0.0,0,post_failure,iss,B7,B2,0.897652252515157,1.0,-0.10234774748484293,-0.10409983148177465,-0.1006073827544848,-20.679742487104757,6.15095139982711e-40,30
100,correlated_region,0.1,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9433666666666667,0.9628999999999998,-0.019533333333333333,-0.02143333333333333,-0.017783333333333342,-3.8032432629318307,5.429745874271551e-19,30
100,correlated_region,0.1,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.839805930289676,0.8920364263991105,-0.0522304961094345,-0.057073879541322314,-0.04768283608264067,-3.8815678876156205,3.1139550369787352e-19,30
100,correlated_region,0.3,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.8717333333333332,0.8735499999999999,-0.0018166666666666552,-0.003149999999999986,-0.0004333333333333263,-0.4786525191507731,0.013791407508679117,30
100,correlated_region,0.3,none,0.0,0,post_failure,iss,B6,B2,0.8184007128079732,1.0,-0.18159928719202678,-0.18453453039129575,-0.1784464231133461,-20.49832385017615,7.937330254290746e-40,30
100,correlated_region,0.3,none,0.0,0,post_failure,iss,B6,B4,0.8184007128079732,0.9634208977222443,-0.14502018491427104,-0.1511917716264725,-0.1388071212172508,-8.165873869853717,2.6165017987094246e-28,30
100,correlated_region,0.3,none,0.0,0,post_failure,iss,B7,B2,0.8182838757832845,1.0,-0.18171612421671549,-0.1846898967027664,-0.17856714675823848,-20.683405046096247,6.119511561620502e-40,30
100,correlated_region,0.3,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9393166666666666,0.9523333333333335,-0.013016666666666666,-0.014799999999999973,-0.011233333333333333,-2.571187559823173,1.6898534017590486e-14,30
100,correlated_region,0.3,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.8315420100631851,0.8750744134308437,-0.04353240336765863,-0.04760990895675099,-0.039320421914850995,-3.661447041228607,1.5249230474775955e-18,30
100,correlated_region,0.5,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.8429833333333332,0.8745333333333334,-0.031549999999999995,-0.03476708333333334,-0.028216666666666647,-3.3850820013999523,1.2658981948797784e-17,30
100,correlated_region,0.5,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.5946543388129236,0.6031876029395274,-0.008533264126603967,-0.012529982075625954,-0.004412037431155936,-0.7385925022922424,0.0003535778810931835,30
